Date,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,PlayingSurface,Temperature,Humidity,WindSpeed,OverUnder,PointSpread,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,ReturnYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Safeties,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentReturnYards,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentSafeties,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential
9/8/1985,1985,1,SFO,MIN,AWAY,21,28,49,,Dome,,,,46,-11.5,7,0,0,14,0,33,12,33:12:00,29,,,,84,489,5.82,,39,217,5.56,,44,25,272,,2,6.18,10.88,56.82,,,,,,,,,,,,27,10,69,7,5,1,9,,,,4,172,43,7,1,-6,0,0,7,21,0,26,48,26:48:00,15,,,,59,268,4.54,,32,86,2.69,,25,12,182,,0,7.28,15.17,48,,,,,,,,,,,,22,8,69,1,1,2,10,,,,9,387,43,1,7,6
9/8/1985,1985,1,STL,CLE,AWAY,27,24,51,,Grass,,,,40.5,-3,7,0,3,14,3,32,38,32:38:00,15,,,,60,286,4.77,,34,100,2.94,,23,12,186,,0,8.09,15.5,52.17,,,,,,,,,,,,58,5,25,1,0,3,21,,,,8,328,41,0,3,3,0,3,0,21,0,32,49,32:49:00,19,,,,65,357,5.49,,37,176,4.76,,25,17,181,,1,7.24,10.65,68,,,,,,,,,,,,57,12,80,3,2,3,17,,,,6,270,45,3,0,-3
9/8/1985,1985,1,TAM,CHI,AWAY,28,38,66,,Grass,,,,39,8,14,14,0,0,0,26,41,26:41:00,17,,,,53,307,5.79,,29,166,5.72,,21,13,141,,2,6.71,10.85,61.9,,,,,,,,,,,,21,12,80,0,0,3,23,,,,6,216,36,2,3,1,7,10,14,7,0,33,19,33:19:00,27,,,,70,436,6.23,,34,185,5.44,,34,23,251,,1,7.38,10.91,67.65,,,,,,,,,,,,55,8,78,2,2,2,19,,,,2,114,57,3,2,-1
9/9/1985,1985,1,WAS,DAL,AWAY,14,44,58,,Artificial,,,,43.5,-1.5,0,7,0,7,0,31,21,31:21:00,24,,,,78,369,4.73,,33,120,3.64,,43,19,249,,6,5.79,13.11,44.19,,,,,,,,,,,,0,3,25,1,1,2,13,,,,5,210,42,7,1,-6,3,14,13,14,0,28,39,28:39:00,19,,,,68,319,4.69,,33,113,3.42,,33,14,206,,0,6.24,14.71,42.42,,,,,,,,,,,,84,3,30,2,1,2,8,,,,6,288,48,1,7,6
9/12/1985,1985,2,OAK,KAN,AWAY,20,36,56,,Artificial,,,,44,-1.5,7,7,0,6,0,30,38,30:38:00,22,,,,73,340,4.66,,23,67,2.91,,48,34,273,,2,5.69,8.03,70.83,,,,,,,,,,,,14,3,49,4,3,2,18,,,,5,230,46,5,1,-4,3,9,17,7,0,29,22,29:22:00,18,,,,70,325,4.64,,29,84,2.9,,38,18,241,,0,6.34,13.39,47.37,,,,,,,,,,,,41,6,36,2,1,3,30,,,,5,190,38,1,5,4
9/15/1985,1985,2,ATL,SFO,AWAY,16,35,51,,Grass,,,,45,14,7,3,3,3,0,33,24,33:24:00,18,,,,71,253,3.56,,30,123,4.1,,38,23,130,,0,3.42,5.65,60.53,,,,,,,,,,,,12,9,78,2,1,3,20,,,,5,215,43,1,1,0,0,0,14,21,0,26,36,26:36:00,23,,,,62,380,6.13,,30,196,6.53,,26,19,184,,1,7.08,9.68,73.08,,,,,,,,,,,,47,7,50,0,0,6,50,,,,4,160,40,1,1,0
9/15/1985,1985,2,BUF,NYJ,AWAY,3,42,45,,Artificial,,,,40.5,3.5,3,0,0,0,0,23,9,23:09:00,16,,,,58,270,4.66,,14,82,5.86,,43,21,188,,4,4.37,8.95,48.84,,,,,,,,,,,,8,14,82,2,1,1,13,,,,5,200,40,5,0,-5,0,21,14,7,0,36,51,36:51:00,27,,,,76,532,7,,42,288,6.86,,30,20,244,,0,8.13,12.2,66.67,,,,,,,,,,,,26,13,99,1,0,4,34,,,,4,180,45,0,5,5
9/15/1985,1985,2,CIN,STL,AWAY,27,41,68,,Grass,,,,48.5,4,7,7,3,10,0,25,17,25:17:00,20,,,,72,370,5.14,,29,116,4,,41,22,254,,0,6.2,11.55,53.66,,,,,,,,,,,,84,6,44,2,2,2,13,,,,6,246,41,2,2,0,7,10,10,14,0,34,43,34:43:00,27,,,,71,447,6.3,,38,210,5.53,,31,17,237,,1,7.65,13.94,54.84,,,,,,,,,,,,73,4,45,2,1,2,7,,,,4,160,40,2,2,0
9/15/1985,1985,2,DAL,DET,AWAY,21,26,47,,Dome,,,,45.5,-5.5,0,0,0,21,0,34,26,34:26:00,33,,,,89,554,6.22,,25,102,4.08,,62,40,452,,3,7.29,11.3,64.52,,,,,,,,,,,,23,13,88,2,2,2,13,,,,2,80,40,5,1,-4,10,3,13,0,0,25,34,25:34:00,13,,,,54,200,3.7,,26,72,2.77,,24,10,128,,1,5.33,12.8,41.67,,,,,,,,,,,,46,10,76,0,0,4,29,,,,6,246,41,1,5,4
9/15/1985,1985,2,HOU,WAS,AWAY,13,16,29,,Grass,,,,46,10.5,0,10,3,0,0,24,40,24:40:00,11,,,,57,188,3.3,,24,81,3.38,,28,12,107,,0,3.82,8.92,42.86,,,,,,,,,,,,38,12,111,2,0,5,45,,,,6,270,45,0,3,3,13,3,0,0,0,35,20,35:20:00,20,,,,69,333,4.83,,43,240,5.58,,22,15,93,,1,4.23,6.2,68.18,,,,,,,,,,,,9,6,43,2,2,4,30,,,,5,200,40,3,0,-3
9/15/1985,1985,2,IND,MIA,AWAY,13,30,43,,Grass,,,,44.5,18,0,7,0,6,0,25,54,25:54:00,17,,,,55,298,5.42,,23,96,4.17,,32,16,202,,1,6.31,12.63,50,,,,,,,,,,,,113,7,62,1,0,0,0,,,,5,215,43,1,1,0,3,10,3,14,0,34,6,34:06:00,33,,,,81,486,6,,31,157,5.06,,48,29,329,,0,6.85,11.34,60.42,,,,,,,,,,,,28,3,20,1,1,2,12,,,,1,62,62,1,1,0
9/15/1985,1985,2,STL,PHI,AWAY,17,6,23,,Artificial,,,,38,-4.5,10,0,0,7,0,33,42,33:42:00,16,,,,74,334,4.51,,43,173,4.02,,26,11,161,,1,6.19,14.64,42.31,,,,,,,,,,,,126,3,25,2,1,5,31,,,,7,217,31,2,7,5,3,3,0,0,0,26,18,26:18:00,16,,,,62,300,4.84,,26,120,4.62,,34,14,180,,4,5.29,12.86,41.18,,,,,,,,,,,,21,6,35,3,3,2,10,,,,3,135,45,7,2,-5
9/15/1985,1985,2,MIN,TAM,AWAY,31,16,47,,Grass,,,,46,3,7,10,7,7,0,28,50,28:50:00,18,,,,60,262,4.37,,31,79,2.55,,28,18,183,,2,6.54,10.17,64.29,,,,,,,,,,,,47,9,67,0,0,1,3,,,,3,141,47,2,5,3,0,3,7,6,0,31,10,31:10:00,22,,,,61,349,5.72,,23,115,5,,38,26,234,,2,6.16,9,68.42,,,,,,,,,,,,15,8,52,3,3,0,0,,,,2,40,20,5,2,-3
9/15/1985,1985,2,NWE,CHI,AWAY,7,20,27,,Grass,,,,44,5,0,0,0,7,0,22,35,22:35:00,10,,,,54,206,3.81,,16,27,1.69,,35,15,179,,3,5.11,11.93,42.86,,,,,,,,,,,,15,8,70,1,1,3,23,,,,11,506,46,4,2,-2,7,3,10,0,0,37,25,37:25:00,18,,,,73,369,5.05,,44,160,3.64,,23,13,209,,1,9.09,16.08,56.52,,,,,,,,,,,,18,2,10,1,1,6,55,,,,8,296,37,2,4,2
9/15/1985,1985,2,NOR,DEN,AWAY,23,34,57,,Grass,,,,39.5,10,0,6,10,7,0,28,3,28:03:00,17,,,,60,342,5.7,,27,107,3.96,,30,18,235,,0,7.83,13.06,60,,,,,,,,,,,,53,6,81,1,1,3,26,,,,5,225,45,1,2,1,7,17,7,3,0,31,57,31:57:00,22,,,,74,432,5.84,,24,105,4.38,,44,28,327,,1,7.43,11.68,63.64,,,,,,,,,,,,46,10,75,1,1,6,45,,,,6,258,43,2,1,-1
9/15/1985,1985,2,NYG,GNB,AWAY,20,23,43,,Grass,,,,42,-1,0,6,7,7,0,23,53,23:53:00,17,,,,65,315,4.85,,21,76,3.62,,40,21,239,,0,5.98,11.38,52.5,,,,,,,,,,,,17,6,69,2,1,4,24,,,,8,360,45,1,2,1,10,7,0,6,0,36,7,36:07:00,20,,,,73,290,3.97,,41,126,3.07,,27,15,164,,1,6.07,10.93,55.56,,,,,,,,,,,,53,9,65,3,1,5,33,,,,7,238,34,2,1,-1
9/15/1985,1985,2,SEA,SDG,AWAY,49,35,84,,Grass,,,,46,-3.5,7,7,28,7,0,33,12,33:12:00,30,,,,76,489,6.43,,40,196,4.9,,33,22,293,,0,8.88,13.32,66.67,,,,,,,,,,,,10,5,25,1,0,3,24,,,,6,228,38,0,4,4,10,13,6,6,0,26,48,26:48:00,32,,,,70,557,7.96,,19,63,3.32,,49,34,494,,1,10.08,14.53,69.39,,,,,,,,,,,,19,7,89,5,3,2,14,,,,5,230,46,4,0,-4
9/16/1985,1985,2,PIT,CLE,AWAY,7,17,24,,Grass,,,,41.5,-2,0,0,0,7,0,23,37,23:37:00,15,,,,70,216,3.09,,19,54,2.84,,45,18,162,,2,3.6,9,40,,,,,,,,,,,,79,8,67,0,0,6,58,,,,10,440,44,2,1,-1,0,7,3,7,0,36,23,36:23:00,21,,,,68,293,4.31,,36,145,4.03,,30,18,148,,1,4.93,8.22,60,,,,,,,,,,,,52,7,50,2,0,2,16,,,,9,297,33,1,2,1
9/19/1985,1985,3,CHI,MIN,AWAY,33,24,57,,Dome,,,,41.5,-3,3,3,24,3,0,31,44,31:44:00,21,,,,67,480,7.16,,30,127,4.23,,33,21,353,,1,10.7,16.81,63.64,,,,,,,,,,,,42,10,66,0,0,4,25,,,,3,120,40,1,5,4,3,7,7,7,0,28,16,28:16:00,23,,,,71,445,6.27,,15,34,2.27,,55,28,411,,3,7.47,14.68,50.91,,,,,,,,,,,,34,6,45,3,2,1,7,,,,3,129,43,5,1,-4
9/22/1985,1985,3,CLE,DAL,AWAY,7,20,27,,Artificial,,,,41,7,0,0,0,7,0,26,35,26:35:00,15,,,,57,297,5.21,,31,128,4.13,,26,14,169,,2,6.5,12.07,53.85,,,,,,,,,,,,33,9,93,2,1,0,0,,,,5,190,38,3,2,-1,3,7,7,3,0,33,25,33:25:00,20,,,,71,343,4.83,,33,131,3.97,,34,22,212,,1,6.24,9.64,64.71,,,,,,,,,,,,2,6,40,3,1,4,24,,,,3,135,45,2,3,1
9/22/1985,1985,3,DEN,ATL,AWAY,44,28,72,,Grass,,,,45,-5.5,7,14,6,17,0,31,41,31:41:00,27,,,,81,428,5.28,,39,148,3.79,,38,19,280,,2,7.37,14.74,50,,,,,,,,,,,,11,7,41,1,0,4,38,,,,3,120,40,2,2,0,7,7,14,0,0,28,19,28:19:00,16,,,,61,341,5.59,,27,108,4,,32,19,233,,1,7.28,12.26,59.38,,,,,,,,,,,,75,6,103,2,1,2,11,,,,6,252,42,2,2,0
9/22/1985,1985,3,DET,IND,AWAY,6,14,20,,Dome,,,,44,-5,0,3,3,0,0,24,52,24:52:00,10,,,,53,204,3.85,,26,105,4.04,,26,12,99,,1,3.81,8.25,46.15,,,,,,,,,,,,60,3,16,3,1,1,8,,,,7,273,39,2,3,1,7,0,0,7,0,35,8,35:08:00,24,,,,77,355,4.61,,40,228,5.7,,32,14,127,,2,3.97,9.07,43.75,,,,,,,,,,,,8,7,50,1,1,5,32,,,,5,210,42,3,2,-1
9/22/1985,1985,3,HOU,PIT,AWAY,0,20,20,,Artificial,,,,43,6,0,0,0,0,0,25,26,25:26:00,8,,,,46,134,2.91,,22,50,2.27,,21,12,84,,1,4,7,57.14,,,,,,,,,,,,6,4,20,2,1,3,24,,,,7,266,38,2,0,-2,14,3,3,0,0,34,34,34:34:00,22,,,,68,335,4.93,,46,233,5.07,,19,9,102,,0,5.37,11.33,47.37,,,,,,,,,,,,25,4,35,0,0,3,17,,,,4,140,35,0,2,2
9/22/1985,1985,3,KAN,MIA,AWAY,0,31,31,,Grass,,,,51.5,4,0,0,0,0,0,30,10,30:10:00,15,,,,63,284,4.51,,25,97,3.88,,38,19,187,,2,4.92,9.84,50,,,,,,,,,,,,8,4,20,0,0,0,0,,,,6,234,39,2,2,0,0,0,14,17,0,29,50,29:50:00,27,,,,67,391,5.84,,29,133,4.59,,35,23,258,,1,7.37,11.22,65.71,,,,,,,,,,,,89,6,44,1,1,3,18,,,,3,120,40,2,2,0
9/22/1985,1985,3,NWE,BUF,AWAY,17,14,31,,Artificial,,,,42.5,-6.5,3,7,7,0,0,31,6,31:06:00,14,,,,62,227,3.66,,40,122,3.05,,22,13,105,,1,4.77,8.08,59.09,,,,,,,,,,,,133,4,34,2,1,0,0,,,,7,336,48,2,1,-1,0,7,0,7,0,28,54,28:54:00,16,,,,59,306,5.19,,20,55,2.75,,39,23,251,,1,6.44,10.91,58.97,,,,,,,,,,,,50,10,80,1,0,0,0,,,,9,405,45,1,2,1
9/22/1985,1985,3,NYJ,GNB,AWAY,24,3,27,,Grass,,,,46,5,7,0,10,7,0,31,22,31:22:00,15,,,,71,226,3.18,,39,106,2.72,,27,14,120,,0,4.44,8.57,51.85,,,,,,,,,,,,53,4,25,0,0,5,46,,,,8,336,42,0,4,4,3,0,0,0,0,28,38,28:38:00,10,,,,61,193,3.16,,25,71,2.84,,33,14,122,,2,3.7,8.71,42.42,,,,,,,,,,,,28,7,68,2,2,3,18,,,,9,387,43,4,0,-4
9/22/1985,1985,3,PHI,WAS,AWAY,19,6,25,,Grass,,,,40,14,3,3,3,10,0,32,57,32:57:00,15,,,,61,327,5.36,,44,175,3.98,,16,9,152,,1,9.5,16.89,56.25,,,,,,,,,,,,19,6,35,2,0,1,7,,,,5,240,48,1,2,1,0,6,0,0,0,27,3,27:03:00,15,,,,64,257,4.02,,26,140,5.38,,34,15,117,,1,3.44,7.8,44.12,,,,,,,,,,,,40,4,20,1,1,4,32,,,,6,246,41,2,1,-1
9/22/1985,1985,3,SDG,CIN,AWAY,44,41,85,,Artificial,,,,55.5,4.5,3,17,14,10,0,29,24,29:24:00,26,,,,71,517,7.28,,25,173,6.92,,43,25,344,,2,8,13.76,58.14,,,,,,,,,,,,55,6,70,1,1,3,24,,,,3,153,51,3,5,2,7,6,21,7,0,30,36,30:36:00,32,,,,72,448,6.22,,28,152,5.43,,44,26,296,,2,6.73,11.38,59.09,,,,,,,,,,,,39,5,40,4,3,0,0,,,,3,108,36,5,3,-2
9/22/1985,1985,3,SFO,OAK,AWAY,34,10,44,,Grass,,,,44,-2.5,10,3,14,7,0,27,11,27:11:00,17,,,,65,352,5.42,,30,115,3.83,,26,15,237,,0,9.12,15.8,57.69,,,,,,,,,,,,97,8,79,2,2,9,71,,,,5,225,45,2,3,1,3,0,0,7,0,32,49,32:49:00,20,,,,67,280,4.18,,23,83,3.61,,40,24,197,,2,4.93,8.21,60,,,,,,,,,,,,24,9,69,3,1,4,29,,,,5,185,37,3,2,-1
9/22/1985,1985,3,STL,NYG,AWAY,17,27,44,,Artificial,,,,47,2,7,3,0,7,0,30,40,30:40:00,18,,,,55,289,5.25,,20,83,4.15,,34,18,206,,2,6.06,11.44,52.94,,,,,,,,,,,,13,10,75,3,1,1,4,,,,5,235,47,3,1,-2,7,3,10,7,0,29,20,29:20:00,19,,,,70,318,4.54,,43,155,3.6,,23,10,163,,1,7.09,16.3,43.48,,,,,,,,,,,,47,8,70,0,0,4,28,,,,5,245,49,1,3,2
9/22/1985,1985,3,TAM,NOR,AWAY,13,20,33,,Dome,,,,45,2.5,0,6,0,7,0,30,7,30:07:00,20,,,,72,334,4.64,,26,114,4.38,,44,22,220,,2,5,10,50,,,,,,,,,,,,17,9,59,2,1,2,20,,,,3,126,42,3,2,-1,7,10,3,0,0,29,53,29:53:00,18,,,,67,338,5.04,,38,112,2.95,,25,16,226,,0,9.04,14.13,64,,,,,,,,,,,,48,6,55,4,2,4,32,,,,4,160,40,2,3,1
9/23/1985,1985,3,STL,SEA,AWAY,35,24,59,,Dome,,,,44,7,7,0,14,14,0,29,59,29:59:00,19,,,,68,357,5.25,,37,170,4.59,,24,12,187,,3,7.79,15.58,50,,,,,,,,,,,,32,7,45,2,2,7,61,,,,5,220,44,5,5,0,0,7,3,14,0,30,1,30:01:00,17,,,,68,314,4.62,,15,44,2.93,,51,28,270,,2,5.29,9.64,54.9,,,,,,,,,,,,43,6,45,5,3,2,16,,,,7,287,41,5,5,0
9/29/1985,1985,4,ATL,STL,AWAY,6,17,23,,Grass,,,,45,9,0,3,3,0,0,31,46,31:46:00,18,,,,67,258,3.85,,29,104,3.59,,34,18,154,,1,4.53,8.56,52.94,,,,,,,,,,,,19,6,40,0,0,4,38,,,,5,200,40,1,0,-1,0,10,7,0,0,28,14,28:14:00,14,,,,52,283,5.44,,29,106,3.66,,20,16,177,,0,8.85,11.06,80,,,,,,,,,,,,22,6,39,0,0,3,27,,,,5,225,45,0,1,1
9/29/1985,1985,4,CLE,SDG,AWAY,21,7,28,,Grass,,,,48,4,0,7,7,7,0,31,12,31:12:00,23,,,,70,440,6.29,,40,275,6.88,,24,16,165,,0,6.88,10.31,66.67,,,,,,,,,,,,21,4,28,1,1,6,41,,,,4,140,35,1,2,1,7,0,0,0,0,28,48,28:48:00,16,,,,52,275,5.29,,20,56,2.8,,31,21,219,,2,7.06,10.43,67.74,,,,,,,,,,,,0,1,10,3,0,1,5,,,,5,225,45,2,1,-1
9/29/1985,1985,4,DAL,HOU,AWAY,17,10,27,,Dome,,,,41.5,-5,7,0,3,7,0,28,36,28:36:00,16,,,,75,339,4.52,,31,156,5.03,,32,16,183,,0,5.72,11.44,50,,,,,,,,,,,,35,9,65,0,0,12,82,,,,6,264,44,0,5,5,0,0,10,0,0,31,22,31:22:00,13,,,,57,214,3.75,,29,81,2.79,,26,11,133,,4,5.12,12.09,42.31,,,,,,,,,,,,26,6,65,3,1,2,16,,,,6,276,46,5,0,-5
